"filename", "language", "Ignore", "JavaScript", "TypeScript", "Docker", "YAML", "Markdown", "Shell Script", "TypeScript JSX", "PostCSS", "XML", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\frontend.instructions.md", "Markdown", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 51, 173
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\nextjs-tailwind.instructions.md", "Markdown", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 14, 73
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\performance-optimization.instructions.md", "Markdown", 0, 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 3, 77, 421
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\workflows\README.md", "Markdown", 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 81, 354
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\workflows\ci-cd-docker-enterprise.yml", "YAML", 0, 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 100, 70, 569
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.storybook\main.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.storybook\preview.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.storybook\vitest.setup.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\mcp.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\clerk.md", "Markdown", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 31, 97
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\convex.md", "Markdown", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 18, 193
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\frontend.md", "Markdown", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 52, 178
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-applications.md", "Markdown", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 18, 72
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-chat.md", "Markdown", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 25, 99
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-gigs.md", "Markdown", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-payment.md", "Markdown", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 21, 80
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\next-tailwind.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 15, 78
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\Dockerfile", "Docker", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 87
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\__mocks__\fileMock.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\README.md", "Markdown", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 18, 91
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\__tests__\users.test.ts", "TypeScript", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 85, 604
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.d.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 95
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 23
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\dataModel.d.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 61
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\server.d.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 14, 143
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\server.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 9, 90
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\analytics.ts", "TypeScript", 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 67, 631
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\applications.ts", "TypeScript", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 208
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\auth.config.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\chatConversations.ts", "TypeScript", 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 49, 359
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\chatMessages.ts", "TypeScript", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 170
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\courses.ts", "TypeScript", 0, 0, 751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 73, 907
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\coursesMutations.ts", "TypeScript", 0, 0, 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 75, 602
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerApplications.ts", "TypeScript", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 291
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerGigs.ts", "TypeScript", 0, 0, 470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 525
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\files.ts", "TypeScript", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 54, 464
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\finance.ts", "TypeScript", 0, 0, 667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 100, 898
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\gigs.ts", "TypeScript", 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 371
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\chatAssignments.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 116
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\healthQueries.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\index.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 55
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\reconcileQueries.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletBalances.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletInit.ts", "TypeScript", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 233
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletMutations.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 140
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletTransactions.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\lessons.ts", "TypeScript", 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 71, 677
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\messages.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\profile.ts", "TypeScript", 0, 0, 753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 861
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\progressBatch.ts", "TypeScript", 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 51, 532
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\reconcile.ts", "TypeScript", 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 73, 702
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 0, 998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 126, 1247
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills-clean.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills.ts", "TypeScript", 0, 0, 966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 88, 1229
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skillsTest.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills_backup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\skills_simple.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 2, 26
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\types\internal.d.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts", "TypeScript", 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 81, 729
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\wallet.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 167
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\walletApi.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 86
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\debug-api.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\README.md", "Markdown", 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 91, 335
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-compose\docker-compose.dev.yml", "YAML", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 14, 35, 175
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-compose\docker-compose.prod.yml", "YAML", 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 19, 64, 376
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-publish.yml", "YAML", 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 10, 40, 278
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-blue-green.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 86, 132, 737
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-dev.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 36, 53, 298
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-prod.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 60, 83, 467
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\health-check.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 31, 76, 405
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\rollback.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 44, 73, 404
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docker-compose.yml", "YAML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 0, 35
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\01_introduction\01_SYSTEM_OVERVIEW.md", "Markdown", 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 90, 363
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\02_architecture\01_ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 14, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\03_api_reference\01_API_DOCUMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 10, 25
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\04_guides\01_DEPLOYMENT_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 25, 61
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\05_contributing\01_CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\05_contributing\02_TESTING.md", "Markdown", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 49, 196
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\06_security\01_SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 16, 39
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\01_CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\02_STYLE_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 16, 39
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\APPLICATION_STATUS_LIFECYCLE.md", "Markdown", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 14, 60
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\BALANCE_MULTI_CURRENCY_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 77, 304
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\COURSE_CATALOG_README.md", "Markdown", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 116, 445
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\COURSE_CATALOG_TECHNICAL_DOCS.md", "Markdown", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 123, 515
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\DEBUG_PROGRESS_TRACKING.md", "Markdown", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 71, 250
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\DOCKER_README.md", "Markdown", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 38, 139
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\ENTERPRISE_LOGGING_DOCS.md", "Markdown", 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 86, 394
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\ENTERPRISE_USER_INITIALIZATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 82, 285
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FINANCE_OPERATIONS.md", "Markdown", 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 98, 422
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FIX_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 25, 124
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\FIX_SUMMARY_LOGGING_SAMPLING.md", "Markdown", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 36, 150
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\GIGS_SCHEMA_REVIEW.md", "Markdown", 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 75, 334
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 56, 184
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\KIBO_VIDEO_PLAYER_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 0, 0, 0, 86, 539
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LMS_QA_CHECKLIST.md", "Markdown", 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 71, 271
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LMS_README.md", "Markdown", 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 95, 417
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LOGGING_IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 42, 182
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LOGGING_IMPLEMENTATION_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 47, 219
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\LOGGING_SAMPLING_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 32, 126
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\07_additional\PERFORMANCE_OPTIMIZATION_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 82, 380
